locality,locality_aka,state,country,iso3,continent,lat,lon
Zanaroch,"[Zanaroch',Zanarach]",,Belarus,BLR,Europe,54.803353,26.775106
Esmanovtsy,"[Es'manovtsy,Vyazin]",,Belarus,BLR,Europe,54.419929,27.161962
Rabun,[],,Belarus,BLR,Europe,54.5006477,27.1494715
Luban,[],,Belarus,BLR,Europe,52.7919112,27.9994587
Narach,[],,Belarus,BLR,Europe,54.9371661,26.6897469
Kalinkavichy,[],,Belarus,BLR,Europe,52.1286204,29.3314442
Yurovichi,[],,Belarus,BLR,Europe,51.942043,29.526272
Khoiniki,[],,Belarus,BLR,Europe,51.8875635,29.9650078
Myadzyel,[],,Belarus,BLR,Europe,54.8707533,26.9299904
Svietlahorsk,[],,Belarus,BLR,Europe,52.6330461,29.7484365
Parichi,[],,Belarus,BLR,Europe,52.805978,29.422934
Kniahinin,[Knyahinin],,Belarus,BLR,Europe,54.680752,27.17271
Lahoysk,[],,Belarus,BLR,Europe,54.2083495,27.8556375
Ilya,[],,Belarus,BLR,Europe,54.4140345,27.2911075
Boroviki,[],,Belarus,BLR,Europe,55.599205,26.9494586
Hlybokaye,[Glubokoye],,Belarus,BLR,Europe,55.139235,27.6845787
Milograd,[],,Belarus,BLR,Europe,52.4993104,30.2724409
Priluki,[],,Belarus,BLR,Europe,52.25218,24.46887
Byaroza,[],,Belarus,BLR,Europe,52.2965251,24.3710241
Kosava,[],,Belarus,BLR,Europe,52.7575059,25.1528353
Ružany,[Ruzany],,Belarus,BLR,Europe,52.865925,24.8906748
Ivanava,[],,Belarus,BLR,Europe,52.1459395,25.5326538
Mir,[],,Belarus,BLR,Europe,53.4537435,26.4659132
Lahišyn,[Lahisyn],,Belarus,BLR,Europe,52.3395948,25.9879344
Nesvizh,[],,Belarus,BLR,Europe,53.217957,26.681737
Zhirovichi,[],,Belarus,BLR,Europe,53.008896,25.349407
Turaŭ,[Turau],,Belarus,BLR,Europe,52.0717821,27.7295921
Mikashevichy,[],,Belarus,BLR,Europe,52.2244298,27.4874142
Slonim,[],,Belarus,BLR,Europe,53.0927071,25.3193209
Lelchytsy,[],,Belarus,BLR,Europe,51.7861783,28.3289657
Rahachow,[Rogachev],,Belarus,BLR,Europe,53.0820031,30.0531983
Slutsk,[],,Belarus,BLR,Europe,53.0277354,27.5519747
Žytkavičy,[Zytkavicy],,Belarus,BLR,Europe,52.2168809,27.8548239
Salihorsk,[Soligorsk],,Belarus,BLR,Europe,52.7840567,27.5420336
Azarychy,[],,Belarus,BLR,Europe,52.463723,29.2645277
Avgustovo,[],,Belarus,BLR,Europe,55.4664089,26.5941928
Chernoe,[],,Belarus,BLR,Europe,55.139247,27.275448
Navahrudak,[Novogrudok],,Belarus,BLR,Europe,53.5942493,25.8216337
Usyazh,[],,Belarus,BLR,Europe,54.0757928,28.0074615
Maladzyechna,[],,Belarus,BLR,Europe,54.3073327,26.8389111
Červień,[Cervien],,Belarus,BLR,Europe,53.7141823,28.4181408
Jalizava,[],,Belarus,BLR,Europe,53.3935034,29.0066772
