id_1,locality_1,country_1,lat_1,lon_1,id_2,locality_2,country_2,lat_2,lon_2,distance_km
2657,Katori,Japan,35.8978273,140.4992787,6637,Sawara,Japan,35.8945456,140.4940774,0.594
2706,Morioka,Japan,39.7021331,141.1545397,7318,Sannohe,Japan,39.70916,141.1464742,1.042
2998,Callander,United Kingdom,56.2436941,-4.2148033,5218,Kilmahog,United Kingdom,56.2480242,-4.2454841,1.956
3042,Lao Cai,Vietnam,22.3069302,104.1829592,3044,Pho Lu,Vietnam,22.3207036,104.1865508,1.575
3067,Malmedy,Belgium,50.4265348,6.0276059,3068,Bévercé,Belgium,50.4415348,6.0391879,1.859
3157,Old Colwyn,United Kingdom,53.2885433,-3.7015251,3158,Colwyn Bay,United Kingdom,53.2953269,-3.7262534,1.808
3242,Banjar,Indonesia,-3.3187496,114.5925828,3962,Banjarmasin,Indonesia,-3.3187496,114.5925828,0.0
3243,Purwokerto,Indonesia,-7.4194647,109.2218425,7506,Purwanegara,Indonesia,-7.4076547,109.2329063,1.792
3424,San Pascual,Philippines,13.7878815,121.0210565,3426,Bauan,Philippines,13.7899158,121.0077783,1.452
3467,Famy,Philippines,14.4354493,121.4491564,3469,Siniloan,Philippines,14.4215284,121.444412,1.63
3469,Siniloan,Philippines,14.4215284,121.444412,3470,Mabitac,Philippines,14.4259361,121.429439,1.685
3487,Anao,Philippines,15.7286873,120.6266345,3542,Nampicuan,Philippines,15.7321724,120.6386089,1.339
3565,Masantol,Philippines,14.8928667,120.7052547,3567,Macabebe,Philippines,14.9081836,120.7149803,1.998
3580,Tanza,Philippines,14.400675,120.8572845,3581,Rosario,Philippines,14.4167099,120.8548686,1.802
3622,Bustos,Philippines,14.9535178,120.9188433,3625,Baliwag,Philippines,14.9542259,120.9009172,1.927
3683,Leura,Australia,-33.7156888,150.3317665,7845,Katoomba,Australia,-33.713759,150.3121633,1.826
3687,Kalpetta,India,11.610278,76.08281,3725,Wayanad,India,11.6263889,76.0888889,1.91
3878,Reusel-De Mierden,Netherlands,51.408201,5.148469,7242,Lage Mierde,Netherlands,51.4066691,5.1491649,0.177
3915,Elburg,Netherlands,52.4156591,5.8413217,3916,Doornspijk,Netherlands,52.4194984,5.8208683,1.451
3993,Ten Post,Netherlands,53.2972128,6.7290836,3994,Winneweer,Netherlands,53.3110117,6.7443251,1.838
4135,Trouville,France,49.3679823,0.0809113,4274,Deauville,France,49.3595018,0.0746638,1.046
4141,Rekem,Belgium,50.922073,5.689395,5505,Neerharen,Belgium,50.907778,5.680982,1.695
4152,Collioure,France,42.52505,3.0831554,4253,Port-Vendres,France,42.5204146,3.1056167,1.912
4184,Montigny-le-Bretonneux,France,48.7698937,2.0381228,4187,Voisins-le-Bretonneux,France,48.7586786,2.0509674,1.563
4247,Saint-Laurent-sur-Saône,France,46.3046804,4.8410969,4248,Mâcon,France,46.3036683,4.8322266,0.691
4273,Trouville-sur-Mer,France,49.3679823,0.0809113,4274,Deauville,France,49.3595018,0.0746638,1.046
4297,Portbou,Spain,42.4274333,3.1588785,4298,Cerbère,France,42.4412951,3.1646952,1.614
4341,Słubice,Poland,52.3557481,14.5662367,4818,Frankfurt an der Oder,Germany,52.3412273,14.549452,1.977
4494,Brela,Croatia,43.3684379,16.9321158,5284,Baška Voda,Croatia,43.3585111,16.9487814,1.742
4673,'s-Graveland,Netherlands,52.243148,5.131132,4675,Kortenhoef,Netherlands,52.2401304,5.1130009,1.279
4677,Loenen aan de Vecht,Netherlands,52.2097841,5.0216458,4678,Nieuwersluis,Netherlands,52.196668,5.0077712,1.738
4918,Groet,Netherlands,52.7210122,4.6684187,4919,Camperduin,Netherlands,52.7255457,4.6514869,1.247
5005,Macduff,United Kingdom,57.6702105,-2.4944375,5006,Banff,United Kingdom,57.6645459,-2.5217539,1.742
5175,Guayonje,Spain,28.488531,-16.4178003,5198,Mesa del Mar,Spain,28.5033774,-16.4239192,1.756
5182,El Pris,Spain,28.5092601,-16.4208963,5198,Mesa del Mar,Spain,28.5033774,-16.4239192,0.718
5188,Tejina,Spain,28.5333325,-16.3636079,5200,El Socorro,Spain,28.5171603,-16.3625377,1.801
5205,Qawra,Malta,35.9541286,14.4198078,5208,Bugibba,Malta,35.9483211,14.4105059,1.057
5388,Hem,Netherlands,52.6607793,5.1835446,5389,Venhuizen,Netherlands,52.6626396,5.1997975,1.115
5651,Durgerdam,Netherlands,52.3779446,4.9904908,5652,Ransdorp,Netherlands,52.3937331,4.9946364,1.778
5656,Halfweg,Netherlands,52.3826063,4.7546903,5657,Zwanenburg,Netherlands,52.3779288,4.7436402,0.913
5712,Měchenice,Czechia,49.9081696,14.3892687,5715,Davle,Czechia,49.8921766,14.4003714,1.948
5716,Severní,Czechia,51.0352246,14.3151887,5717,Lobendava,Czechia,51.0191858,14.3147874,1.784
5719,Návsí,Czechia,49.590239,18.754518,5720,Jabłonków,Czechia,49.5767408,18.7645761,1.667
5744,Dupovci,Bosnia and Herzegovina,43.8182101,18.1921364,5779,Hadžići,Bosnia and Herzegovina,43.8223256,18.2031453,0.995
5754,Donja Zimća,Bosnia and Herzegovina,44.0148659,18.1371828,5755,Biskupići,Bosnia and Herzegovina,44.0049573,18.1514533,1.586
5757,Podlugovi,Bosnia and Herzegovina,43.9695978,18.2604096,5758,Ilijaš,Bosnia and Herzegovina,43.95645,18.2661553,1.533
5765,Hotonj,Bosnia and Herzegovina,43.8973661,18.3776937,5785,Kobilja Glava,Bosnia and Herzegovina,43.8840515,18.3854093,1.604
5773,Duhri,Bosnia and Herzegovina,43.9221291,18.1150281,5774,Brnjaci,Bosnia and Herzegovina,43.9141286,18.1270412,1.31
5856,Suchovršice,Czechia,50.5234045,15.9982045,5857,Úpice,Czechia,50.5125314,16.0154279,1.716
5857,Úpice,Czechia,50.5125314,16.0154279,5858,Batňovice,Czechia,50.5175945,16.0366349,1.602
5928,Kozina,Slovenia,45.6085113,13.9353038,5929,Hrpelje,Slovenia,45.6067654,13.94366,0.678
6043,Saco,United States,43.500739,-70.4429855,6044,Biddeford,United States,43.4925843,-70.4533844,1.235
6048,West Linn,United States,45.3656761,-122.612314,6205,Oregon City,United States,45.3573429,-122.606758,1.023
6145,Wood Village,United States,45.5370464,-122.4184703,6153,Fairview,United States,45.5385457,-122.4330512,1.148
6258,Grants Pass,United States,42.4393707,-123.3272489,7103,Grant Pass,United States,42.439421,-123.325642,0.132
6286,Sredskë,Kosovo,42.171221,20.855328,6287,Bogoshefc,Kosovo,42.1715492,20.8786653,1.924
6287,Bogoshefc,Kosovo,42.1715492,20.8786653,6288,Mushnikovë,Kosovo,42.1738484,20.8967307,1.511
6416,Balatonszemes,Hungary,46.806042,17.7789908,6417,Balatonőszöd,Hungary,46.8069464,17.8002219,1.619
6429,Peklenica,Croatia,46.49725,16.4726384,6430,Križovec,Croatia,46.4912728,16.4938612,1.755
6430,Križovec,Croatia,46.4912728,16.4938612,6431,Miklavec,Croatia,46.4823492,16.506135,1.367
6460,Otlja,North Macedonia,42.1442242,21.587793,6461,Lipkovo,North Macedonia,42.1572002,21.5860103,1.45
6463,Sveti Stefan,North Macedonia,41.0764388,20.8050363,6464,Dolno Kojsno,North Macedonia,41.064986,20.8045,1.274
6464,Dolno Kojsno,North Macedonia,41.064986,20.8045,6465,Lagadin,North Macedonia,41.0477726,20.8026871,1.92
6492,Mihaljevci,Croatia,45.377506,17.6748386,6493,Novi Mihaljevci,Croatia,45.3902168,17.6744434,1.414
6528,Smokuč,Slovenia,46.3888064,14.1673896,6529,Breznica,Slovenia,46.396348,14.152407,1.423
6932,Lindale,United States,34.185962,-85.174424,6934,Silver Creek,United States,34.176207,-85.1613389,1.62
7112,Douar,Lebanon,33.9017932,35.6997263,7120,Dhour El Choueir,Lebanon,33.9140868,35.7139576,1.896
7112,Douar,Lebanon,33.9017932,35.6997263,7206,Dhour Choueir,Lebanon,33.9140868,35.7139576,1.896
7122,Moukhtara,Lebanon,33.6573762,35.6133585,7176,Bakaata,Lebanon,33.670367,35.5994472,1.935
7130,Bikfaya,Lebanon,33.9199751,35.683555,7191,Beit Chabab,Lebanon,33.9275343,35.6723258,1.334
7177,Zakrit,Lebanon,33.9379839,35.6309976,7187,Mazraat Yachouh,Lebanon,33.9300335,35.6327031,0.898
7177,Zakrit,Lebanon,33.9379839,35.6309976,7188,Qornet el Hamra,Lebanon,33.93472,35.64917,1.715
7177,Zakrit,Lebanon,33.9379839,35.6309976,7200,Jeita,Lebanon,33.9488336,35.6453546,1.791
7180,Bickfaya,Lebanon,33.9221677,35.684352,7191,Beit Chabab,Lebanon,33.9275343,35.6723258,1.26
7187,Mazraat Yachouh,Lebanon,33.9300335,35.6327031,7188,Qornet el Hamra,Lebanon,33.93472,35.64917,1.606
7188,Qornet el Hamra,Lebanon,33.93472,35.64917,7200,Jeita,Lebanon,33.9488336,35.6453546,1.608
7201,Zaarour,Lebanon,33.8893081,35.5609043,7210,Jdeideh,Lebanon,33.8921658,35.5703807,0.931
7205,Broummana,Lebanon,33.8795059,35.623199,7207,Roumieh,Lebanon,33.8849347,35.6031054,1.951
7208,Ghosta,Lebanon,33.9881801,35.6705343,7209,Bzoummar,Lebanon,33.9858761,35.6846079,1.323
7236,Leende,Netherlands,51.3484037,5.5518897,7237,Leenderstrijp,Netherlands,51.3338226,5.5431524,1.731
7245,Middelbeers,Netherlands,51.4677566,5.2508063,7246,Oostelbeers,Netherlands,51.4726547,5.2687554,1.357
7255,Eersel,Netherlands,51.3933291,5.3413526,7256,Steensel,Netherlands,51.3779747,5.3526577,1.879
7257,Hoogcasteren,Netherlands,51.4043271,5.2925901,7258,Hoogeloon,Netherlands,51.3970303,5.2683632,1.866
7640,Charray,France,47.971537,1.324717,7641,La Ferté-Villeneuil,France,47.981764,1.344795,1.878
7656,Commercy,France,48.763203,5.5914753,7657,Vignot,France,48.7740147,5.6084127,1.728
7704,Onay,France,47.3852097,5.6873556,7705,Champtonnay,France,47.3801192,5.6683891,1.536
7746,Smarhoń,Belarus,54.4817816,26.4012822,7747,Krevo,Belarus,54.4816321,26.3922797,0.582
